1,aH aH,阿,啊
2,aH aL,阿
3,aiH aiH,埃,唉,挨,誒,哀,哎
4,aiH aiL,艾,璦,嬡,礙,曖,噯,賹,隘,靉,譪,愛,薆,僾,鑀,濭,鴱
5,aiL aiH,欸,皚,靄,敳,藹,捱,騃,矮
6,aiL aiL,佁,昹,欸,靄,藹,矮
7,aM aM,阿,啊
8,angH angH,腌,骯
9,angH angL,醠,盎
10,angL angH,昂,卬
11,angL angL,軮
12,anH anH,胺,銨,垵,盦,腤,諳,安,庵,痷,萻,侒,峖,氨,韽,媕,鵪,鞍
13,anH anL,匼,犴,儑,暗,錌,洝,岸,菴,桉,荌,婩,闇,匎,豻,案,按,黯
14,anL anH,玵,雸,啽
15,anL anL,堷,晻,俺,唵
16,auH auH,坳,凹,柪
86,ch yiH yiL,泣,湆,湇,鏚,蟿,訖,气,憩,諿,企,棄,迄,鼜,忔,磧,盵,契,氣,栔,甈,砌,汽,葺,緝,器,汔
87,ch yiL yiH,圻,枝,祺,蚔,岓,蘄,鬐,玂,鰭,期,歧,豈,騏,麡,棋,旂,蚑,鄿,衹,畦,錤,騎,崎,埼,齊,蜞,跂,翗,蚚,乞,祇,淇,麒,蠐,綦,萁,旗,稽,亓,起,奇,鯕,祈,釮,綺,鬿,鮨,琪,軝,頎,耆,艩,其,啟,錡,臍,岐,掑,踑,祁,碕,懠,濝,琦,藄,鶀,鵸
88,ch yiL yiL,啟,邔,棨,起,芞,婍,屺,乞,杞,豈,綺,綮,敧,呇,芑
89,ch yuH yuH,趨,敺,祛,抾,髷,魼,岨,呿,瞿,阹,胠,驅,鱋,佉,區,鶌,砠,軀,曲,蛆,袪,蛐,紶,镼,屈,嶇
90,ch yuH yuL,鼁,趣,覷,湨,去,闃,麮,刞
91,ch yuL yuH,磲,渠,懅,躣,翑,氍,劬,蠷,麴,軥,齲,取,淭,翵,蟝,匷,蕖,朐,臞,菃,豦,螶,胊,璩,鼩,蘧,曲,鴝,葋,欋,籧,衢,灈
92,ch yuL yuL,娶,齲,取,曲,浀
93,chi aH aH,掐
94,chi aH aL,恰,殎,洽,帢,愘
95,chi aL aL,酠
