11,angL angL,0
14,anL anH,0
1181,tsu oL oH,1,瘥:0,矬:0,嵯:1
1193,tsz anH anL,1,璨:1,燦:0
1197,tsz auH auL,1,糙:1
1202,tsz enL enH,1,岑:0,涔:1
1203,tsz ngH ngH,1,噌:1
1204,tsz ngH ngL,1,蹭:1
1207,tsz wuH wuH,1,粗:1
1245,tz anL anL,1,昝:0,攢:1
1272,tzu anL anL,1,纂:1
1278,tzu enH enL,1,圳:1
1279,tzu enL enH,1,撙:1
1280,tzu enL enL,1,撙:1
1311,wu ngH ngL,1,甕:1
1323,yi aiL aiH,1,崖:1
1373,yuH yuH,1,迂:1,淤:0
22,b aiH aiH,2,掰:2
74,bi ehH ehH,2,鱉:1,憋:1
75,bi ehH ehL,2,彆:2
101,chi anH anL,2,歉:1,倩:0,欠:1
117,chi ngH ngL,2,慶:2
132,chiu ngH ngH,2,芎:2,穹:0
142,chr angH angH,2,猖:0,昌:2
150,chr auH auH,2,抄:1,超:1,鈔:0
156,chr eL eH,2,扯:2
157,chr eL eL,2,扯:2
178,chu aH aH,2,欻:2
202,chu oH oL,2,綽:2,逴:0,啜:0
276,eL eL,2,噁:2
298,f eiL eiL,2,匪:2,菲:0
315,g aH aL,2,尬:2
331,g auL auH,2,稿:0,搞:2
332,g auL auL,2,稿:0,搞:2
360,gu aiL aiL,2,枴:1,拐:1
361,gu aL aH,2,寡:2
362,gu aL aL,2,寡:2
380,gu ngL ngH,2,拱:2
381,gu ngL ngL,2,拱:2,鞏:0
387,h aiH aiH,2,咳:2
395,h anH anH,2,憨:1,鼾:0,頇:1
414,h ouH ouH,2,齁:2
497,jiu ehH ehL,2,倔:2
552,ju aiH aiL,2,拽:2
601,k ouH ouH,2,摳:2
650,l auH auH,2,撈:2
732,m angL angL,2,莽:2,蟒:0
750,m ngL ngL,2,猛:2,錳:0
771,mi auL auL,2,淼:0,緲:0,秒:2,杳:0,藐:0
780,mi ouH ouL,2,謬:2
824,ni auH auL,2,尿:2
908,pi enH enL,2,聘:2
989,shiu ehH ehH,2,靴:2
1003,shr aiL aiL,2,骰:2
